NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
AMF_US-ICs,201402,68.6058,-149.311,34.48424,0.78125,165.32068,199.62208,WET,0.208589996,399.2455444,0.989234924,7,-651.5,-324,0.000306835,6.39E-06,0.026903325,0.000974074,58.951192,0.818574,-24.01805153,-8.072439575,0.009868293,-0.025809226,-0.000211962,0.010582862,-1.140130884,-15.0863801,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201604,68.6058,-149.311,22.37202,0.838194,7.22172,29.52339,WET,3.097879729,404.912323,5.424394131,7,-645,-377,-0.0011791,6.60E-06,0.018400131,0.00044883,483.409312,2.207034,-8.873185179,0.823007202,-0.001405742,-0.030558148,0.00176489,0.012941804,3.03253601,-0.618734535,10,16,2.713999987,6.699999809,53,31,1.5
FLX_FI-Sii,202012,61.8327,24.1928,10.859424,1,-0.0912392,10.801671,WET,-119.0214732,417.0474548,17.46131897,1,-645,-645,-0.004205032,3.83E-05,0.076897097,0.001621984,6.852652,0.225676,-0.457990351,4.043832397,0.019612734,0.00964738,4.68E-06,0.032629407,3.126093271,-7.092356878,118,6,7.217000008,4.699999809,54,40,4
FLX_SE-Deg,200401,64.182,19.5565,-4.747526,0.833333,6.357914,1.9149072,WET,-0.746711264,379.4766235,-18.43849373,8,-644,-644,-0.000140312,1.74E-05,0.038063353,0.001105204,13.403188,0.312772,-9.894762687,-0.488775635,-0.015660862,-0.019235448,0.002176361,0.028929462,-2.117279947,-12.69804625,32,6,7.217000008,4.699999809,54,40,4
FLX_RU-Che,200311,68.613,161.3414,5.38359,0.804167,-2.598618,2.752839,WET,-2.071712733,376.6734314,-21.16192818,7,-623,-623,0.000966186,1.21E-05,0.01298797,0.000192554,10.450792,0.28179975,-22.62098503,-5.100698853,-0.008435998,-0.009538696,0.000486886,0.019933508,-1.334171092,-13.56905515,22,10,0.605000019,7.699999809,69,21,0.74000001
AMF_US-ICs,201810,68.6058,-149.311,12.151659,0.950941,-0.3352712,12.009989,WET,-36.24426733,405.0357971,9.404323578,7,-617,-617,-0.000403062,5.39E-06,0.041305073,0.001057923,100.4016409,1.047866,-7.610399505,8.254937744,0.00453948,-0.017281295,-0.000968838,0.010081192,3.923596192,0.839054046,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Ivo,200410,68.4865,-155.7503,19.794864,0.91129,-4.099471,12.572484,WET,-4.828638622,376.3617859,-19.23182106,7,-586.5,-463,0.000785713,1.00E-05,0.022997041,0.000585184,88.37106236,1.111412,-9.960685107,-1.211950684,-0.014104186,-0.019553672,0.000677952,0.018739358,-0.678842485,-0.401800944,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201911,68.6058,-149.311,7.59369,0.990278,2.792415,10.38693,WET,2.7193988,411.0853577,13.46678066,7,-585,-585,0.0004061,6.49E-06,0.022216601,0.000312239,11.267146,0.28319,-19.85952443,-8.152792358,-0.003369976,-0.032921203,-0.00027686,0.016115451,0.729928262,-12.30278996,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201811,68.6058,-149.311,9.10095,0.863889,-1.715661,7.47558,WET,-5.304631859,407.2967529,9.678175926,7,-577,-577,0.000656222,5.16E-06,0.017451889,0.000398353,11.101728,0.29722,-18.16755619,-5.825262451,-0.008134688,-0.041134479,-2.67E-05,0.011140475,2.421896502,-9.71810264,10,16,2.713999987,6.699999809,53,31,1.5
FLX_SE-Deg,200804,64.182,19.5565,1.914483,0.911806,0.626373,2.574075,WET,3.056458372,389.5821228,-9.825076103,8,-575,-487,-0.011676468,8.03E-05,0.050007874,0.00119786,401.572222,2.354054,0.853434075,13.63977966,0.013020088,-0.012057547,0.004232095,0.01532298,-0.404921929,-2.493818845,32,6,7.217000008,4.699999809,54,40,4
FLX_SE-St1,201404,68.3541,19.0503,15.41754,0.750694,7.50426,22.90065,WET,2.054505041,400.3981628,1.103033662,0,-554,-234,-0.003422402,1.43E-05,0.074808679,0.001449108,420.152298,2.211264,-3.965040716,1.692224121,0.022308388,0.010096616,-0.000734258,0.010077031,0.045117617,-2.901117501,32,6,7.217000008,4.699999809,54,40,4
AMF_US-ICs,201102,68.6058,-149.311,9.88923155,0.961309524,1.7478,11.6371,WET,5.658102501,393.8460388,-4.410270691,7,-546,-310,9.57E-05,6.45E-06,0.030749654,0.000628218,49.025008,0.813662,-22.50673532,-6.123632813,0.013714621,-0.005420169,-0.0004231,0.015782181,0.371185325,-13.0257468,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201610,68.6058,-149.311,11.648126,0.961694,0.7259394,12.262577,WET,16.04559003,400.7393494,5.107875824,7,-527.5,-236,0.001000826,9.44E-06,0.02018699,0.000480764,100.7947344,1.096582,-9.923200148,3.700708008,-0.016578603,-0.028771289,0.000435049,0.01512173,1.610795549,-1.668749504,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Ivo,200502,68.4865,-155.7503,0.8155056,0.752976,2.4371368,2.997288,WET,0.33461626,381.8241272,-16.42572212,7,-517,-411,0.000262228,1.16E-05,0.016548656,0.000312172,49.879944,0.665744,-23.85713724,-6.375738525,-0.000773013,-0.013287195,0.000123558,0.016476214,-0.560998226,-14.33481608,157,18,6.504000187,6.599999905,44,38,6.829999924
FLX_US-Ivo,200504,68.4865,-155.7503,4.74552,0.882639,0.175857,4.83042,WET,26.98510722,383.407959,-16.20879936,7,-516.5,-381,-0.002720579,8.74E-06,0.011875387,0.000270948,491.75846,2.319174,-14.5422585,7.251641846,-0.006349351,-0.017960464,0.002205492,0.013493408,-2.305616218,-5.019937336,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201704,68.6058,-149.311,4.69833,0.806944,7.21227,11.79486,WET,0.651435678,406.968811,7.480882168,7,-509.5,-453,-0.003326641,4.55E-06,0.003092379,0.000144038,535.111088,2.316892,-10.26261896,-0.032736206,-0.016713494,-0.051176988,-0.000382651,0.011884626,1.643102234,-2.138319113,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Atq,200602,70.4696,-157.4089,8.896888,0.823661,-7.41244,1.4844536,WET,-1.20026442,384.9013367,-13.52281666,10,-506,-355,-0.000376194,1.66E-05,0.02841061,0.000728041,34.932986,0.674586,-21.20458818,1.584817505,0.013044215,0.002837368,-0.000556665,0.013931496,3.546413836,-11.44225428,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201202,68.6058,-149.311,10.991377,0.906609,-3.605628,6.920328,WET,-3.048394621,395.8805542,-2.37575531,7,-502,-326,0.000702253,7.30E-06,0.015566734,0.001310334,53.23223,0.878662,-22.7554816,-7.556967163,-0.001468298,-0.031888662,0.000183455,0.015932532,0.122439048,-11.92748324,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Atq,200304,70.4696,-157.4089,-6.30144,0.861111,6.30144,0,WET,-1,378.7204895,-21.16928291,10,-493,-458,-0.009905259,1.43E-05,0.015509118,0.000373349,352.241742,2.02272,-9.239007123,2.761804199,0.002421881,-0.009536498,-0.002048383,0.005457437,3.47743783,0.171085947,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201902,68.6058,-149.311,3.434984,0.986607,-0.5813416,2.8294,WET,-5.908718729,409.6708984,11.41458893,7,-481.5,-290,0.001077645,1.03E-05,0.021112206,0.000674821,53.826082,0.77683,-18.18522292,-5.096792603,0.004077174,-0.034025598,0.000558848,0.016786996,4.692697729,-10.62848845,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201510,68.6058,-149.311,37.479,0.785618,-0.4445245,35.98573,WET,-84.3125632,398.624939,2.993465424,7,-480,-480,0.000869141,6.57E-06,0.020396352,0.000377893,102.316968,1.080636,-12.08498726,-0.722052002,-0.01636924,-0.02120087,0.000303364,0.014233842,-0.550991566,-3.091767636,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201910,68.6058,-149.311,11.292091,0.985215,-0.7368669,10.551315,WET,-15.32446497,408.7427979,13.11132431,7,-479,-479,0.000542617,5.72E-06,0.046631754,0.001589671,89.43130016,0.845798,-10.67491344,2.033685303,0.009866161,-0.00850605,-2.32E-05,0.016251968,0.859082258,-3.11817897,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Atq,200404,70.4696,-157.4089,2.110965,0.929861,1.649688,3.76065,WET,1.279614691,380.9281311,-18.96164131,10,-478,-450,-0.006405633,1.48E-05,0.003798071,0.000127286,414.355584,2.120342,-14.22378568,2.164239502,-0.009289167,-0.021671553,0.001451243,0.011094126,-1.507340723,-4.424242205,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,200711,68.6058,-149.311,11.22885,0.8125,-2.454945,8.85978,WET,-4.573972126,385.9248047,-11.69377232,7,-476,-476,0.000972939,5.77E-06,0.014408902,0.000436857,9.973592,0.25712,-17.46499231,-4.071401978,-0.011177675,-0.012070617,0.000289978,0.018119414,3.124460381,-8.565524441,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,200810,68.6058,-149.311,5.117108,0.795699,5.002501,10.228667,WET,1.02290994,384.786438,-10.84503555,7,-474.5,-261,0.000490672,3.23E-06,0.05807924,0.000903982,93.55022594,1.021636,-17.36107056,-3.066397095,0.021313647,0.014097683,-7.51E-05,0.012767846,-5.827074866,-6.307670521,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-WPT,201102,41.4646,-82.9962,19.02358183,0.941220238,4.879,23.9026,WET,3.899073956,394.4968262,-4.316819668,0,-474.5,-218,-0.024793741,0.000253218,0.10194621,0.008522555,311.492312,2.466964,-3.606251689,14.6667572,0.032280861,-0.01019632,0.011217414,0.071074271,-1.667004547,-14.564204,176,22,1.688999891,6.199999809,23,55,1.75
FLX_US-Ivo,200702,68.4865,-155.7503,-15.320816,0.803571,15.304912,3.74E-06,WET,-1.001039144,387.0746765,-11.17517376,7,-472,-282,0.000733076,1.33E-05,0.003562515,0.00017597,57.82697,0.837246,-23.52388509,-3.345297241,-0.013759154,-0.022991514,0.000594406,0.019701816,-0.227746068,-14.83040599,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201002,68.6058,-149.311,17.02790977,0.993303571,0.33758,17.3655,WET,50.44110957,391.3426514,-6.913658142,7,-471.5,-325,0.000607645,3.94E-06,0.015684014,0.000259668,52.052376,0.758448,-21.91975489,-2.112646484,-0.001351018,-0.027990532,8.88E-05,0.017933374,0.958165758,-12.95251053,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201502,68.6058,-149.311,31.42524,0.947173,-11.309088,19.169612,WET,-2.778759879,400.7545166,2.498207092,7,-468,-386,0.000688206,7.21E-06,0.016976086,0.000325381,48.085874,0.696632,-19.43077089,-4.442892456,-5.89E-05,-0.024621137,0.000169409,0.014052908,3.447149753,-10.43755127,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201702,68.6058,-149.311,2.2474144,0.8125,0.7538524,3.039456,WET,2.981239298,405.8583679,7.602058411,7,-465.5,-351,0.000390504,7.16E-06,0.037619812,0.000625977,49.323228,0.662716,-22.34955726,-5.744436646,0.020584779,-0.016649555,-0.000128294,0.015601771,0.528363386,-14.22525742,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Ivo,200704,68.4865,-155.7503,3.45216,0.755556,-1.469817,1.997478,WET,-2.348700553,388.7705994,-10.84615803,7,-459.5,-358,-0.006288584,7.66E-06,0.018864887,0.000357665,394.388988,2.179638,-9.970843358,2.250680542,0.000640149,-0.007689141,-0.001362513,0.012680156,2.26579892,-1.277364259,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201403,68.6058,-149.311,26.090933,0.823253,-1.6320539,26.212422,WET,-15.98656331,400.0677185,1.170359254,7,-458,-456,0.000190704,4.29E-06,0.010344889,0.000215515,257.6147275,1.697054,-17.56480477,-6.046606445,-0.005242694,-0.042367662,0.000253951,0.010466731,3.673334895,-8.633133335,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Ivo,200510,68.4865,-155.7503,21.051387,0.848118,-2.3775543,17.63094,WET,-8.854219229,378.8034363,-16.79017067,7,-452,-452,-0.000132536,1.03E-05,0.01875724,0.000294462,88.00595222,0.978886,-9.88425699,1.200296021,-0.018343987,-0.011078612,-0.000240296,0.016081451,-0.602414369,-0.36193583,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,200910,68.6058,-149.311,26.91581199,0.99327957,8.0414,34.9571,WET,3.347154972,386.1263733,-9.50510025,7,-451,-451,0.000449187,5.75E-06,0.031831181,0.000468239,90.60192302,1.055518,-10.83603499,4.521905518,-0.004934411,-0.011362829,-0.00011659,0.012977755,0.697960705,-0.607223669,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Atq,200804,70.4696,-157.4089,10.60701,0.938194,-6.03279,4.57422,WET,-1.758226293,390.0805664,-9.809206963,10,-450.5,-421,-0.007767944,1.06E-05,0.026054823,0.000701174,380.144584,2.173924,-10.09050039,2.016641235,0.012967586,0.006055966,8.89E-05,0.006291886,2.625944567,-0.28241842,157,18,6.504000187,6.599999905,44,38,6.829999924
FLX_US-Ivo,200403,68.4865,-155.7503,12.859079,0.834005,-5.983186,5.969608,WET,-2.149202615,379.9862366,-18.95842934,7,-441.5,-366,-0.000826558,5.79E-06,0.012261671,0.000465512,238.1257203,1.59848,-24.43046138,-4.877020264,-0.002163676,-0.030289042,-7.28E-05,0.017127087,-2.988864966,-14.87157722,157,18,6.504000187,6.599999905,44,38,6.829999924
FLX_SE-Deg,202001,64.182,19.5565,2.3475773,0.99664,-0.12238366,2.2251955,WET,-19.18211385,413.636261,15.72114468,8,-440,-440,-0.005767348,3.94E-05,0.067762724,0.001861706,13.059664,0.307784,-2.139664139,7.591546631,0.014038509,-0.007152232,-0.003450675,0.025712721,5.637818601,-6.725682165,32,6,7.217000008,4.699999809,54,40,4
FLX_US-Atq,200805,70.4696,-157.4089,-2.7680148,0.97379,8.586597,5.818607,WET,-0.322364588,390.1488342,-9.970954895,10,-434,-190,-0.017832689,1.39E-05,0.015673609,0.000597924,512.40011,2.484196,-3.045119821,9.069238281,-0.003654977,-0.004325248,0.003707169,-0.003772859,-0.568570301,6.762962146,157,18,6.504000187,6.599999905,44,38,6.829999924
