NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
FLX_IT-Tor,201101,45.8444,7.5781,49.55815,0.840726,-5.851095,43.0342,GRA,-8.469893242,392.500946,-4.294499874,10,-388,-352,0.001257307,2.57E-05,0.032729389,0.001296163,215.568854,1.626208,-5.891100968,5.706628418,-0.049346844,-0.07387152,1.95E-05,0.035795644,-0.622823379,-11.56764189,10,16,2.713999987,6.699999809,53,31,1.5
FLX_RU-Sam,201210,72.3738,126.4958,2.6517338,0.948253,-0.16636336,2.4998059,GRA,-15.93940998,393.5855103,-2.438358307,16,-380,-380,-0.000603806,7.76E-06,0.0132933,0.000802723,47.32583663,0.629473,-10.6427997,1.19564209,-0.010680822,-0.011607092,-0.000604,8.00E-06,-0.302016913,0.805558191,22,10,0.605000019,7.699999809,69,21,0.74000001
FLX_RU-Tks,201403,71.5943,128.8878,-11.983825,0.745968,11.983825,0.09255794,GRA,-1,400.8991089,1.350429535,7,-372.5,-286,0.000126568,9.41E-06,0.012673047,0.000401482,169.7277135,1.361826,-19.154365,-3.454763794,0.001180518,-0.018750119,0.00069244,0.016599815,4.096896675,-7.175962106,35,12,12.947001,6.1,31,57,4.75
AMF_US-Bkg,201002,44.3453,-96.8362,0.611751034,0.973958333,1.5914,2.2032,GRA,0.384410603,391.8831177,-5.978273869,12,-364.5,-221,-0.002637762,1.29E-05,0.029446429,0.000910088,322.121934,2.466904,-10.22958097,1.181985474,0.004377176,-0.057145624,0.005583328,0.060828317,-2.395836177,-17.59245633,158,23,1.784000039,6.400000095,31,46,1.649999976
AMF_US-xWD,201903,47.1282,-99.2414,6.571237577,0.95766129,1.8006,8.3719,GRA,3.649471052,410.6778259,11.97925091,12,-358.5,-274,-0.004734365,2.49E-05,0.034754441,0.001879559,510.2205288,2.983004,-7.00849604,6.427255249,0.001246437,-0.042566831,0.0118953,0.049908422,-3.609171063,-10.25878114,139,23,3.227999926,6.599999905,33,44,2.630000114
FLX_RU-Sam,201104,72.3738,126.4958,1.678449,0.85,6.89907,8.6652,GRA,0.243286269,395.8045654,-3.992871523,16,-356.5,23,-0.006574393,9.08E-06,0.013966419,0.000254005,372.51541,1.901177,-9.619197252,4.703500366,-0.001337087,-0.012886195,-0.006574,9.00E-06,3.792861986,1.266630438,22,10,0.605000019,7.699999809,69,21,0.74000001
FLX_IT-Tor,201603,45.8444,7.5781,38.84951,0.819892,2.4938198,37.66159,GRA,15.57831484,403.6957397,5.426435947,9,-356,-328,0.00057748,2.69E-05,0.088016473,0.002210014,501.8044466,3.060684,-2.183731891,8.103601074,-0.010257225,-0.029951256,0.001723304,0.031255276,-1.363251757,-7.318910488,10,16,2.713999987,6.699999809,53,31,1.5
FLX_NO-Blv,200903,78.9216,11.8311,4.691292,0.994624,-0.8889095,3.386719,BSV,-5.277581126,391.0532532,-8.015856743,16,-338.5,-109,0.000851782,1.77E-05,0.04699984,0.00146848,84.31017226,0.853712,-12.92869698,-2.402105713,-0.005169991,-0.004428997,-0.000198807,0.00062046,0.89368782,-6.759280205,0,0,0,0,0,0,0
FLX_IT-MBo,200403,46.0147,11.0458,20.379989,0.929435,1.8961212,21.737851,GRA,10.74825227,379.8250122,-18.43174744,5,-338,-69,-0.000911696,3.17E-05,0.090916303,0.002989236,447.2996743,3.011284,2.877948605,15.48418579,4.45E-05,-0.023704746,0.016579766,0.040102455,-2.426912532,-6.104384101,34,27,3.02699995,7.699999809,36,37,2.49000001
FLX_IT-Tor,201003,45.8444,7.5781,51.987,0.802419,2.6399817,53.94062,GRA,19.69218196,391.9946289,-6.274674892,10,-336,-247,0.000822904,2.02E-05,0.101959759,0.003178567,466.7097939,2.953866,-2.629797056,7.235192871,0.003686061,-0.017884179,0.001968728,0.029732382,-1.809316921,-5.781402979,10,16,2.713999987,6.699999809,53,31,1.5
FLX_IT-Tor,201902,45.8444,7.5781,30.97976,0.860863,14.989968,38.77636,GRA,2.066699542,409.1119385,11.55294514,10,-335.5,-228,0.001503935,2.75E-05,0.042302298,0.001393631,338.314438,2.37342,-1.422431691,13.12095032,-0.030229871,-0.092534403,0.00041726,0.033544417,2.520895573,-6.584597988,10,16,2.713999987,6.699999809,53,31,1.5
FLX_IT-Tor,201012,45.8444,7.5781,46.91354,0.825941,-5.706046,40.09416,GRA,-8.221724816,392.0730286,-6.290514469,10,-335,-318,0.000247061,2.43E-05,0.111651008,0.002714179,168.657316,1.501104,-8.466854559,3.362252808,0.014305424,-0.00819293,-0.00039183,0.02915654,-4.270810474,-11.61846048,10,16,2.713999987,6.699999809,53,31,1.5
FLX_RU-Sam,201005,72.3738,126.4958,-7.40962,0.907258,9.731954,1.1201075,GRA,-0.761370224,393.9210815,-6.001056671,16,-324,-203,-0.012394715,1.22E-05,0.033141572,0.001331806,531.289464,2.358115,-2.024625811,8.230584717,0.005171528,0.006584236,-0.012395,1.20E-05,1.673687073,9.052887304,22,10,0.605000019,7.699999809,69,21,0.74000001
FLX_IT-MBo,201101,46.0147,11.0458,29.433601,0.982527,3.959661,33.38576,GRA,7.433363866,392.4533691,-4.315128326,4,-297.5,-262,-0.00022179,1.62E-05,0.024527864,0.000527302,180.524396,1.559828,0.656837225,10.87850342,-0.036819751,-0.084260109,0.000777608,0.046551787,0.661931221,-9.755653494,34,27,3.02699995,7.699999809,36,37,2.49000001
FLX_IT-Tor,200903,45.8444,7.5781,63.66439,0.813844,2.5671658,64.53301,GRA,24.7994851,390.280365,-7.988938808,9,-288.5,-227,-0.000826484,2.45E-05,0.110584622,0.001686998,487.5634423,2.977852,-1.953914347,9.693261719,0.012310924,-0.004054873,0.000319341,0.028414131,-1.133434213,-6.757379731,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-xNG,201912,46.7697,-100.9154,11.65431515,0.992366412,3.4414,15.0957,GRA,3.386504081,412.4491577,13.833848,12,-283,-248,-0.003090873,1.82E-05,0.021927281,0.001156709,158.709748,1.365164,-7.896067621,3.244882202,-0.004444142,-0.04093786,0.001973751,0.046914581,-0.865211249,-12.44990525,149,15,0.588999987,8.199999809,55,30,0.779999971
