NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
FLX_RU-Fyo,202012,56.4615,32.9221,24.262367,1,3.63568,27.855608,ENF,6.673405525,416.7955017,17.39452934,5,881.5,1603,-0.005040158,1.83E-05,0.0486709,0.001011494,32.33996,0.554172,-3.163958408,2.122186279,-0.011367972,-0.026045765,-0.001147647,0.041273422,1.084727405,-10.48584673,177,12,1.56099999,5.699999809,43,45,1.49000001
FLX_CA-Qfo,200602,49.6925,-74.3421,14.88606,0.957589,-5.571328,9.359728,ENF,-2.671905154,385.0976257,-13.54659748,8,882,1014,-0.005401297,1.89E-05,0.062007707,0.002890602,226.250514,2.066264,-14.95886355,-1.90340271,0.01200696,-0.022622799,0.000178692,0.034185665,-0.017833743,-17.54091405,118,6,7.217000008,4.699999809,54,40,4
FLX_CA-NS2,200210,55.9058,-98.5247,9.929083,0.977151,15.387439,25.134428,ENF,0.645271965,372.9934998,-22.88166618,8,883,883,-0.012686316,1.78E-05,0.024607853,0.000645027,185.8707585,1.597164,-2.754075155,9.618722534,-0.031329944,-0.023009933,0.002386457,0.017016302,-4.037726428,0.044298777,52,23,46.65100098,5.099999905,36,41,19.93000031
FLX_FI-Let,201302,60.6418,23.9595,2.926476,0.950149,5.605964,5.904332,ENF,0.522029039,398.6801147,0.030508677,1,883,1368,-0.002064398,2.23E-05,0.035715164,0.000746223,81.269702,1.128102,-3.354473427,3.469216919,-0.010983337,-0.022416723,0.001739334,0.041875165,1.981049557,-8.852543091,118,6,7.217000008,4.699999809,54,40,4
AMF_US-CMW,200802,31.6637,-110.1777,0.697045664,1,18.0304,18.7274,DBF,0.038659468,386.7941284,-10.01908875,10,885,937,-0.024861548,3.26E-06,0.015189863,0.001698077,520.725144,3.16985,10.56530002,26.61020813,-0.004306123,-0.009079627,-0.00281049,0.001002946,0.092944124,-8.075216466,146,16,0.643999994,7,64,20,0.730000019
AMF_US-CMW,201002,31.6637,-110.1777,11.60949332,1,13.2525,24.862,DBF,0.876022888,390.4284973,-6.384719849,10,885.5,1005,-0.039838493,5.33E-06,0.033707997,0.001753536,455.754632,3.122834,8.450841863,19.90409241,0.014212011,0.008823675,-0.017787435,-0.015951447,-2.021514036,-10.14469869,146,16,0.643999994,7,64,20,0.730000019
AMF_US-CMW,200902,31.6637,-110.1777,-5.042348829,1,22.8156,17.7732,DBF,-0.221004437,388.5907898,-8.222427368,10,886,921,-0.016766948,2.04E-06,0.011755312,0.00158644,521.447088,3.138286,11.91181249,29.72083435,-0.007740674,-0.002923217,0.00528411,-0.001124772,1.439456593,-7.378304862,146,16,0.643999994,7,64,20,0.730000019
AMF_US-BZS,201103,64.6963,-148.3235,8.615799,0.883065,10.918076,19.933093,ENF,0.78913162,394.5902405,-4.37595892,5,886.5,1042,-0.009142441,3.92E-06,0.002782715,0.00030797,300.8800112,1.934814,-11.72772669,5.352731323,-0.009432462,-0.022850636,-0.000664082,0.016775287,-0.539114982,-9.92865946,165,25,4.177000046,5.199999809,24,51,3.460000038
FLX_FI-Let,201712,60.6418,23.9595,27.355888,0.998656,3.0943642,30.765733,ENF,8.840552124,406.5228577,6.994943142,1,886.5,1343,-0.007104484,3.94E-05,0.096936862,0.002176821,15.27816,0.274928,-0.565250512,3.817590332,0.035442903,0.025513119,-0.001436729,0.035859396,2.331097174,-5.6895861,118,6,7.217000008,4.699999809,54,40,4
AMF_CA-Qfo,200802,49.6925,-74.3421,10.47918341,0.999281609,-0.45439,10.0248,ENF,-23.06209073,388.9954224,-9.64880085,8,887,1108,-0.005112244,2.49E-05,0.05093143,0.001690693,256.599046,2.188254,-15.28335805,3.498345947,0.000930684,-0.046505755,0.000467746,0.032477113,-0.342328239,-16.29049844,118,6,7.217000008,4.699999809,54,40,4
FLX_RU-Fyo,200912,56.4615,32.9221,24.42831,0.956317,7.588893,32.01711,ENF,3.21895565,390.582428,-8.818545341,5,887.5,1369,-0.003332968,1.50E-05,0.056455925,0.00128898,35.454308,0.532702,-6.343099996,8.282052612,-0.003582947,-0.020027792,0.000559543,0.038545487,-2.094414183,-11.68288684,177,12,1.56099999,5.699999809,43,45,1.49000001
FLX_DE-Obe,201012,50.7867,13.7213,45.12422,0.817204,3.64746,46.78675,ENF,12.37140914,393.4050598,-5.978397369,1,888,1200,-0.002924744,1.49E-05,0.120863069,0.001564503,78.979172,0.907676,-6.896618189,1.795602417,0.052974954,0.02776253,0.004491475,0.041624749,-6.61329394,-12.4672687,130,11,4.708000183,5.099999905,43,46,3.069999933
AMF_US-PSH,201612,36.2347,-119.9247,38.43350435,0.998655914,20.8012,59.2347,DBF,1.847658036,403.8451538,4.945547581,12,888.5,966,-0.020870434,1.34E-05,0.055889666,0.003632098,266.10188,1.917356,9.449102697,21.96775208,0.008124559,0.034868711,-0.001577457,-8.31E-05,-0.431827629,-10.93590886,142,18,0.780000031,7.5,55,27,0.930000007
FLX_RU-Fyo,201412,56.4615,32.9221,20.48604,0.990591,2.0004703,22.486501,ENF,10.24061192,399.4585266,0.057553608,5,893,1282,-0.001324228,4.54E-05,0.068166028,0.001630142,30.161348,0.427192,-4.626581348,4.838967896,0.008127156,0.018295785,0.002568283,0.042888722,-0.377895535,-10.72311854,177,12,1.56099999,5.699999809,43,45,1.49000001
